frequency_hz,response_db
21.19,32.174
23.77,19.375
26.67,3.352
29.92,-0.744
33.58,-4.005
37.67,-4.102
42.27,-3.911
47.43,3.948
53.21,-2.835
59.71,-8.53
66.99,-1.619
75.17,4.046
84.34,5.847
94.63,6.523
106.18,6.472
119.13,5.131
133.67,-1.24
149.98,-8.51
168.28,-4.058
188.81,-3.046
211.85,-3.244
237.7,6.305
266.7,5.239
299.25,8.985
335.76,5.179
376.73,3.656
422.7,1.421
474.27,-2.065
532.15,-8.042
597.08,-7.373
669.93,-4.935
751.67,-6.642
843.39,-1.02
946.3,-0.981
1061.77,-0.669
1191.32,2.669
1336.69,7.476
1499.79,8.915
1682.79,7.396
1888.12,3.848
2118.51,0.497
2377.0,7.991
2667.04,4.623
2992.47,6.944
3357.61,8.515
3767.3,11.148
4226.98,15.027
4742.75,14.25
5321.45,14.594
5970.77,16.108
6699.31,2.811
7516.75,-2.232
8433.93,-4.042
9463.03,-3.224
10617.69,-3.204
11913.24,-2.338
13366.88,1.068
14997.88,7.22
16827.9,17.23
18881.22,29.716
